Time;PDCP DL bitrate;1. best RSRP;NR-ARFCN;PCI;BI;BT;Band;Band (MHz);NR PCI Beam index;_oid;Height;RSRP
40:24,8;441,744;-88,80000305;2263195;624;5;Detected beam;n260;37000;624_5;624005;74;-88,80000305
40:25,3;423,576;-91,5;2263195;624;5;Detected beam;n260;37000;624_5;624005;74;-91,5
40:25,8;607,032;-97,90000153;2259739;622;5;Detected beam;n260;37000;622_5;622005;74;-97,90000153
40:26,3;718,536;-101,0999985;2259739;622;5;Detected beam;n260;37000;622_5;622005;74;-101,0999985
40:26,8;787,056;-99,69999695;2258011;621;15;Serving beam;n260;37000;621_15;621015;74;-99,69999695
40:27,3;539,568;-98,90000153;2258011;621;15;Serving beam;n260;37000;621_15;621015;74;-98,90000153
40:27,8;486,192;-99;2258011;621;15;Serving beam;n260;37000;621_15;621015;74;-99
40:28,3;668,064;-99,80000305;2258011;621;5;Serving beam;n260;37000;621_5;621005;74;-99,80000305
40:28,8;598,392;-98,90000153;2258011;621;5;Serving beam;n260;37000;621_5;621005;74;-98,90000153
40:29,3;827,256;-99,30000305;2258011;621;5;Serving beam;n260;37000;621_5;621005;74;-99,30000305
40:29,8;865,632;-98,59999847;2258011;621;5;Detected beam;n260;37000;621_5;621005;74;-98,59999847
40:30,3;973,632;-97,09999847;2258011;621;14;Serving beam;n260;37000;621_14;621014;74;-97,09999847
40:30,8;1058,256;-95,69999695;2258011;621;14;Serving beam;n260;37000;621_14;621014;74;-95,69999695
40:31,3;780,12;-95,80000305;2258011;621;14;Detected beam;n260;37000;621_14;621014;74;-95,80000305
40:31,8;856,392;-96,5;2258011;621;5;Serving beam;n260;37000;621_5;621005;74;-96,5
40:32,3;961,104;-95,90000153;2258011;621;5;Serving beam;n260;37000;621_5;621005;74;-95,90000153
40:32,8;1115,064;-95,59999847;2258011;621;5;Serving beam;n260;37000;621_5;621005;74;-95,59999847
40:33,3;1464,408;-94,30000305;2258011;621;5;Serving beam;n260;37000;621_5;621005;74;-94,30000305
40:33,8;1310,616;-93;2258011;621;5;Detected beam;n260;37000;621_5;621005;74;-93
40:34,3;835,176;-90,69999695;2258011;621;14;Serving beam;n260;37000;621_14;621014;74;-90,69999695
